date,VOL,RET,log_vol,lag_vol,lag_return,rolling_std_5d,lag_vix,NFP_Release_date,NFP_surprise_z,ISM_Release_date,ISM_surprise_z,CPI_Release_date,CPI_surprise_z,Housing_Starts_Release_date,Housing_Starts_surprise_z,Jobless_Claims_Release_date,Jobless_Claims_surprise_z,IP_Release_date,IP_dummy,NFP_dummy,ISM_dummy,CPI_dummy,Housing_Starts_dummy,Jobless_Claims_dummy,monday_dummy,wednesday_dummy,friday_dummy
2006-01-09,43532700,0.002569,17.58902293779377,0.30104968315133185,0.46243451076497716,0.0666095291035151,0.025288919102651256,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,1.0,0.0,0.0
2006-01-10,44961400,0.001009,17.621314901854944,0.2032289785027528,0.439840233758277,0.029140373685560744,0.02705642420122366,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,0.0,0.0
2006-01-11,49603900,0.003181,17.719580017636314,0.21181469253446394,0.4337135047246507,0.028265510297215836,0.023385452073419424,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,1.0,0.0
2006-01-12,40509300,-0.003944,17.517042135345548,0.23794119824323978,0.4422437966868535,0.04235718492639349,0.02447314751869477,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,2006-01-12,0.2281449893390192,,0.0,1,1,1,1,1,0.0,0.0,0.0
2006-01-13,44858900,-0.000932,17.619032566024536,0.18409088630053194,0.41426114004288717,0.02622722627195422,0.028008157715839546,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,0.0,1.0
2006-01-17,52181600,-0.00272,17.77024050029206,0.21120787026973264,0.4260904399462734,0.02585147791785426,0.028416043507817804,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,0.0,0.0
2006-01-18,75066500,-0.003974,18.133884945310566,0.25141069226245616,0.4190682659000401,0.02722570943605479,0.03766145479265805,,0.11851162899827583,,0.42778242677824296,2006-01-18,0.19999999999999982,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,1.0,0.0
2006-01-19,78049200,0.003833,18.17284995503334,0.3480956510415094,0.41414331833070206,0.030070673358947163,0.04228416043507817,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,2006-01-19,0.3489795918367347,2006-01-19,0.21357498223169863,,0.0,1,1,1,1,1,0.0,0.0,0.0
2006-01-20,115312000,-0.018237,18.56315205614636,0.3584555792914239,0.44480445523167683,0.08353687968565641,0.03861318830727396,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,0.0,1.0
2006-01-23,67094800,0.003572,18.021617102664703,0.46222821510212775,0.35812694896748903,0.09086155358904684,0.07369136641740313,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,1.0,0.0,0.0
2006-01-24,53013900,0.001028,17.786064701282108,0.3182461321305956,0.44377940633566626,0.09336663344754534,0.06512576478585995,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,0.0,0.0
2006-01-25,87790600,0.000869,18.290464991370435,0.2556179948663946,0.433788125142368,0.09436701671187248,0.05669612508497622,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,1.0,0.0
2006-01-26,71360800,0.005527,18.08325925693552,0.3897267979112229,0.43316367006778683,0.09737158816660527,0.050713800135961926,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,2006-01-26,0.220682302771855,,0.0,1,1,1,1,1,0.0,0.0,0.0
2006-01-27,65790900,0.009265,18.001992088859172,0.3346354080465881,0.45145745457973,0.0326406989040437,0.04459551325628823,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,0.0,1.0
2006-01-30,33710200,-0.000778,17.333311020150223,0.313028278051374,0.4661380399179961,0.0393774091821048,0.03847722637661456,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,1.0,0.0,0.0
2006-01-31,73131200,-0.007319,18.107765646246925,0.1352408748609628,0.42669525806882364,0.06270737365940088,0.04418762746431,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,0.0,0.0
2006-02-01,63562900,0.00698,17.967540524771934,0.34115111115399,0.401006197422061,0.06718575011441175,0.05180149558123724,,0.11851162899827583,2006-02-01,0.3700000000000003,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,1.0,0.0
2006-02-02,83628600,-0.011605,18.241896124813426,0.30386837447171455,0.4571639528398961,0.09074607675603452,0.04377974167233174,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,2006-02-02,0.21961620469083154,,0.0,1,1,1,1,1,0.0,0.0,0.0
2006-02-03,86042500,-0.004965,18.270351918194585,0.3768134180278295,0.3841734021412133,0.07060821125502739,0.055608429639700876,2006-02-03,0.11521948655042494,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,0.0,1.0
2006-02-06,45513400,0.002613,17.633517346057452,0.3843791797155749,0.4102512744381869,0.07568874276556191,0.05193745751189667,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,1.0,0.0,0.0
2006-02-07,71227600,-0.008847,18.081390941718492,0.21505905067298325,0.4400130389361485,0.07837505685379526,0.053025152957171987,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,0.0,0.0
2006-02-08,59426300,0.009085,17.90024744728593,0.3341386646418165,0.3950051448814321,0.08591978740746696,0.06050305914343983,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,1.0,0.0
2006-02-09,62024300,-0.001658,17.943036801706587,0.285976643931134,0.46543110964488543,0.06919004765393405,0.05016995241332427,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,2006-02-09,0.22565742714996445,,0.0,1,1,1,1,1,0.0,0.0,0.0
2006-02-10,64509700,0.001819,17.98232615805582,0.29735338025975544,0.42323915451139343,0.06518591459341179,0.0541128484024473,,0.11851162899827583,,0.42778242677824296,,0.4104602510460251,,0.44223117818556,,0.22511548537505707,,0.0,1,1,1,1,1,0.0,0.0,1.0
