date,VOL,RET,log_vol,lag_vol,lag_return,rolling_std_5d,lag_vix,NFP_Release_date,NFP_surprise_z,ISM_Release_date,ISM_surprise_z,CPI_Release_date,CPI_surprise_z,Housing_Starts_Release_date,Housing_Starts_surprise_z,Jobless_Claims_Release_date,Jobless_Claims_surprise_z,IP_Release_date,IP_dummy,monday_dummy,wednesday_dummy,friday_dummy
2006-06-22,136600,-0.010631,11.824812226118826,,,,15.52,,0.0,,0.0,,0.0,,0.0,2006-06-22,-0.0053823413690492865,,0.0,0,0,0
2006-06-23,44600,-0.000140,10.705489138008156,11.824812226118826,-0.010631,,15.88,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0,1
2006-06-26,37700,0.005797,10.537415373436103,10.705489138008156,-0.000140,,15.89,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,0,0
2006-06-27,114700,-0.017712,11.650075303117463,10.537415373436103,0.005797,,15.62,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0,0
2006-06-28,42600,0.008872,10.659609532257463,11.650075303117463,-0.017712,0.011190453283938055,16.4,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,1,0
2006-06-29,66800,0.042411,11.109458359524737,10.659609532257463,0.008872,0.021891652868159587,15.79,,0.0,,0.0,,0.0,,0.0,2006-06-29,-0.03937780506086795,,0.0,0,0,0
2006-06-30,90600,-0.000544,11.414209492031071,11.109458359524737,0.042411,0.021929208825217563,13.03,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0,1
2006-07-03,28400,0.013615,10.254144424149297,11.414209492031071,-0.000544,0.022032301157618554,13.08,,0.0,2006-07-03,-1.7867280606978417,,0.0,,0.0,,0.0,,0.0,1,0,0
2006-07-05,74000,-0.013297,11.211820372186306,10.254144424149297,0.013615,0.02072749517669706,13.05,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,1,0
2006-07-06,116600,0.003131,11.666504552898529,11.211820372186306,-0.013297,0.02097774106523388,14.15,,0.0,,0.0,,0.0,,0.0,2006-07-06,-0.016714162599655507,,0.0,0,0,0
2006-07-07,71100,-0.011535,11.171842615791332,11.666504552898529,0.003131,0.01107292165600389,13.65,2006-07-07,-0.21154946389583174,,0.0,,0.0,,0.0,,0.0,,0.0,0,0,1
2006-07-10,72000,0.001785,11.184421397998193,11.171842615791332,-0.011535,0.011183509341883698,13.97,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,0,0
2006-07-11,192500,0.008543,12.167851432709975,11.184421397998193,0.001785,0.009617297479021845,14.02,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0,0
2006-07-12,128200,-0.019749,11.761346823468706,12.167851432709975,0.008543,0.01167802783007473,13.14,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,1,0
2006-07-13,173800,-0.030219,12.065660491813428,11.761346823468706,-0.019749,0.015721483199749312,14.49,,0.0,,0.0,,0.0,,0.0,2006-07-13,0.23258590447368138,,0.0,0,0,0
2006-07-14,151100,-0.009005,11.92569714826083,12.065660491813428,-0.030219,0.015709892233876078,17.79,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0,1
