PX_LAST,BN_SURVEY_MEDIAN,Housing_Starts_surprise,Housing_Starts_surprise_z,Housing_Starts_Release_date
,1420,,,2025-04-17
1501.0,1385,116.0,1.426495603893904,2025-03-18
1350.0,1390,-40.0,-0.5727844829798595,2025-02-19
1526.0,1327,199.0,2.4902151372946886,2025-01-17
1305.0,1345,-40.0,-0.5727844829798595,2024-12-18
1344.0,1334,10.0,0.0680104166591673,2024-11-19
1355.0,1350,5.0,0.003930926695264615,2024-10-18
1379.0,1318,61.0,0.7216212142909746,2024-09-18
1262.0,1333,-71.0,-0.9700773207560561,2024-08-16
1329.0,1300,29.0,0.3115124785219975,2024-07-17
1315.0,1370,-55.0,-0.7650229528715675,2024-06-20
1377.0,1421,-44.0,-0.6240480749509817,2024-05-16
1299.0,1485,-186.0,-2.4439055899258175,2024-04-16
1546.0,1440,106.0,1.2983366239660987,2024-03-19
1376.0,1460,-84.0,-1.1366839946622032,2024-02-16
1568.0,1425,143.0,1.7725248496989785,2024-01-18
1510.0,1360,150.0,1.8622361356484423,2023-12-19
1365.0,1350,15.0,0.13208990662307,2023-11-17
1363.0,1383,-20.0,-0.3164665231242488,2023-10-18
1305.0,1439,-134.0,-1.7774788943012299,2023-09-19
1473.0,1450,23.0,0.23461709056531427,2023-08-16
1415.0,1480,-65.0,-0.8931819327993729,2023-07-19
1583.0,1400,183.0,2.2851607694102,2023-06-20
1368.0,1400,-32.0,-0.4702572990376152,2023-05-17
1342.0,1400,-58.0,-0.8034706468499091,2023-04-18
1404.0,1310,94.0,1.1445458480527322,2023-03-16
1361.0,1356,5.0,0.003930926695264615,2023-02-16
1340.0,1358,-18.0,-0.2908347271386877,2023-01-19
1420.0,1400,20.0,0.19616939658697266,2022-12-20
1440.0,1410,30.0,0.324328376514778,2022-11-17
1470.0,1461,9.0,0.055194518666386756,2022-10-19
1520.0,1450,70.0,0.8369642962259993,2022-09-20
1392.0,1527,-135.0,-1.7902947922940102,2022-08-16
1542.0,1580,-38.0,-0.5471526869942984,2022-07-19
1540.0,1693,-153.0,-2.02098095616406,2022-06-16
1828.0,1756,72.0,0.8625960922115604,2022-05-18
1678.0,1740,-62.0,-0.8547342388210313,2022-04-19
1742.0,1700,42.0,0.4781191524281444,2022-03-17
1712.0,1695,17.0,0.15772170260863105,2022-02-17
1757.0,1650,107.0,1.311152521958879,2022-01-19
1704.0,1567,137.0,1.6956294617422951,2021-12-16
1587.0,1579,8.0,0.04237862067360622,2021-11-17
1563.0,1615,-52.0,-0.7265752588932259,2021-10-19
1595.0,1550,45.0,0.516566846406486,2021-09-21
1600.0,1600,0.0,-0.06014856326863806,2021-08-18
1638.0,1590,48.0,0.5550145403848276,2021-07-20
1607.0,1630,-23.0,-0.35491421710259036,2021-06-16
1492.0,1704,-212.0,-2.7771189377381114,2021-05-18
1668.0,1613,55.0,0.6447258263342913,2021-04-16
1407.0,1560,-153.0,-2.02098095616406,2021-03-17
1639.0,1660,-21.0,-0.32928242111702927,2021-02-18
1635.0,1560,75.0,0.901043786189902,2021-01-21
1553.0,1535,18.0,0.17053760060141157,2020-12-17
1543.0,1460,83.0,1.0035709701321462,2020-11-18
1463.0,1465,-2.0,-0.08578035925419913,2020-10-20
1401.0,1488,-87.0,-1.1751316886405447,2020-09-17
1523.0,1245,278.0,3.5026710787243505,2020-08-18
1254.0,1190,64.0,0.7600689082693162,2020-07-17
1053.0,1100,-47.0,-0.6624957689293233,2020-06-17
931.0,900,31.0,0.3371442745075585,2020-05-19
1252.0,1300,-48.0,-0.6753116669221038,2020-04-16
1537.0,1500,37.0,0.41403966246424173,2020-03-18
1578.0,1428,150.0,1.8622361356484423,2020-02-19
1548.0,1380,168.0,2.092922299518492,2020-01-17
1353.0,1345,8.0,0.04237862067360622,2019-12-17
1325.0,1320,5.0,0.003930926695264615,2019-11-19
1311.0,1320,-9.0,-0.17549164520366287,2019-10-17
1375.0,1250,125.0,1.5418386858289288,2019-09-18
1240.0,1256,-16.0,-0.2652029311531266,2019-08-16
1243.0,1260,-17.0,-0.27801882914590714,2019-07-17
1293.0,1239,54.0,0.6319099283415108,2019-06-18
1272.0,1209,63.0,0.7472530102765356,2019-05-16
1191.0,1225,-34.0,-0.4958890950231763,2019-04-19
1121.0,1210,-89.0,-1.2007634846261057,2019-03-26
1226.0,1195,31.0,0.3371442745075585,2019-03-08
1095.0,1256,-161.0,-2.123508140106304,2019-02-26
1181.0,1226,-45.0,-0.6368639729437622,2018-12-18
1221.0,1228,-7.0,-0.1498598492181018,2018-11-20
1250.0,1210,40.0,0.4524873564425833,2018-10-17
1288.0,1240,48.0,0.5550145403848276,2018-09-19
1208.0,1264,-56.0,-0.777838850864348,2018-08-16
1192.0,1320,-128.0,-1.7005835063445467,2018-07-18
1357.0,1311,46.0,0.5293827443992665,2018-06-19
1276.0,1310,-34.0,-0.4958890950231763,2018-05-16
1318.0,1267,51.0,0.5934622343631692,2018-04-17
1277.0,1290,-13.0,-0.22675523717478502,2018-03-16
1299.0,1234,65.0,0.7728848062620967,2018-02-16
1177.0,1275,-98.0,-1.3161065665611305,2018-01-18
1273.0,1250,23.0,0.23461709056531427,2017-12-19
1257.0,1190,67.0,0.7985166022476577,2017-11-17
1181.0,1175,6.0,0.01674682468804515,2017-10-18
1159.0,1174,-15.0,-0.25238703316034605,2017-09-19
1206.0,1220,-14.0,-0.23957113516756554,2017-08-16
1249.0,1160,89.0,1.0804663580888296,2017-07-19
1157.0,1220,-63.0,-0.8675501368138118,2017-06-16
1146.0,1260,-114.0,-1.5211609344456192,2017-05-16
1190.0,1250,-60.0,-0.8291024428354702,2017-04-18
1271.0,1264,7.0,0.029562722680825687,2017-03-16
1190.0,1226,-36.0,-0.5215208910087373,2017-02-16
1252.0,1188,64.0,0.7600689082693162,2017-01-19
1140.0,1230,-90.0,-1.2135793826188863,2016-12-16
1313.0,1156,157.0,1.951947421597906,2016-11-17
1068.0,1175,-107.0,-1.4314496484961554,2016-10-19
1171.0,1190,-19.0,-0.30365062513146823,2016-09-20
1239.0,1180,59.0,0.6959894183054135,2016-08-16
1203.0,1165,38.0,0.4268555604570222,2016-07-19
1148.0,1150,-2.0,-0.08578035925419913,2016-06-17
1163.0,1125,38.0,0.4268555604570222,2016-05-17
1111.0,1166,-55.0,-0.7650229528715675,2016-04-19
1225.0,1150,75.0,0.901043786189902,2016-03-16
1092.0,1173,-81.0,-1.0982363006838614,2016-02-17
1146.0,1200,-54.0,-0.752207054878787,2016-01-20
1172.0,1130,42.0,0.4781191524281444,2015-12-16
1058.0,1160,-102.0,-1.3673701585322526,2015-11-18
1224.0,1142,82.0,0.9907550721393658,2015-10-20
1130.0,1160,-30.0,-0.44462550305205417,2015-09-17
1146.0,1180,-34.0,-0.4958890950231763,2015-08-18
1205.0,1106,99.0,1.208625338016635,2015-07-17
1079.0,1090,-11.0,-0.20112344118922393,2015-06-16
1190.0,1015,175.0,2.1826335854679555,2015-05-19
960.0,1040,-80.0,-1.085420402691081,2015-04-16
886.0,1040,-154.0,-2.0337968541568405,2015-03-17
1085.0,1070,15.0,0.13208990662307,2015-02-18
1073.0,1040,33.0,0.3627760704931196,2015-01-21
1001.0,1040,-39.0,-0.5599685849870789,2014-12-16
1074.0,1025,49.0,0.5678304383776082,2014-11-19
1023.0,1008,15.0,0.13208990662307,2014-10-17
984.0,1037,-53.0,-0.7393911568860064,2014-09-18
1085.0,965,120.0,1.477759195865026,2014-08-19
911.0,1020,-109.0,-1.4570814444817164,2014-07-17
1007.0,1030,-23.0,-0.35491421710259036,2014-06-17
1043.0,980,63.0,0.7472530102765356,2014-05-16
970.0,970,0.0,-0.06014856326863806,2014-04-16
944.0,910,34.0,0.37559196848590015,2014-03-18
888.0,950,-62.0,-0.8547342388210313,2014-02-19
1002.0,985,17.0,0.15772170260863105,2014-01-17
1100.0,955,145.0,1.7981566456845395,2013-12-18
925.0,920,5.0,0.003930926695264615,2013-12-18
850.0,910,-60.0,-0.8291024428354702,2013-12-18
