PX_LAST,BN_SURVEY_MEDIAN,Jobless_Claims_surprise,Jobless_Claims_surprise_z,Jobless_Claims_Release_date
219,225.0,-6.0,-0.09603691121389905,2025-04-03
225,225.0,0.0,-0.02804598383026173,2025-03-27
225,224.0,1.0,-0.016714162599655507,2025-03-20
223,225.0,-2.0,-0.05070962629147417,2025-03-13
224,233.0,-9.0,-0.13003237490571773,2025-03-06
243,221.0,22.0,0.22125408324307516,2025-02-27
224,215.0,9.0,0.07394040724519427,2025-02-20
215,215.5,-0.5,-0.03371189444556484,2025-02-13
222,213.0,9.0,0.07394040724519427,2025-02-06
210,225.0,-15.0,-0.19802330228935502,2025-01-30
222,220.0,2.0,-0.0053823413690492865,2025-01-23
217,210.0,7.0,0.05127676478398182,2025-01-16
205,215.0,-10.0,-0.14136419613632395,2025-01-08
209,221.0,-12.0,-0.1640278385975364,2025-01-02
219,223.0,-4.0,-0.07337326875268661,2024-12-26
222,230.0,-8.0,-0.11870055367511151,2024-12-19
239,220.0,19.0,0.1872586195512565,2024-12-12
225,215.0,10.0,0.08527222847580049,2024-12-05
216,215.0,1.0,-0.016714162599655507,2024-11-27
216,220.0,-4.0,-0.07337326875268661,2024-11-21
219,220.0,-1.0,-0.03937780506086795,2024-11-14
221,222.0,-1.0,-0.03937780506086795,2024-11-07
218,230.0,-12.0,-0.1640278385975364,2024-10-31
228,241.5,-13.5,-0.18102557044344572,2024-10-24
240,259.0,-19.0,-0.24335058721177993,2024-10-17
259,230.0,29.0,0.3005768318573187,2024-10-10
227,221.0,6.0,0.0399449435533756,2024-10-03
221,223.4,-2.4000000000000057,-0.055242354783716724,2024-09-26
222,230.0,-8.0,-0.11870055367511151,2024-09-19
230,226.0,4.0,0.017281301092163158,2024-09-12
228,230.0,-2.0,-0.05070962629147417,2024-09-05
232,232.0,0.0,-0.02804598383026173,2024-08-29
232,232.0,0.0,-0.02804598383026173,2024-08-22
228,235.0,-7.0,-0.10736873244450529,2024-08-15
234,240.0,-6.0,-0.09603691121389905,2024-08-08
248,236.0,12.0,0.10793587093701293,2024-08-01
236,238.0,-2.0,-0.05070962629147417,2024-07-25
240,228.5,11.5,0.10226996032170982,2024-07-18
222,235.0,-13.0,-0.1753596598281426,2024-07-11
238,235.0,3.0,0.005949479861556935,2024-07-03
233,235.0,-2.0,-0.05070962629147417,2024-06-27
237,235.0,2.0,-0.0053823413690492865,2024-06-20
241,225.0,16.0,0.1532631558594378,2024-06-13
229,220.0,9.0,0.07394040724519427,2024-06-06
221,217.0,4.0,0.017281301092163158,2024-05-30
216,220.0,-4.0,-0.07337326875268661,2024-05-23
222,220.0,2.0,-0.0053823413690492865,2024-05-16
229,212.0,17.0,0.16459497709004403,2024-05-09
209,211.0,-2.0,-0.05070962629147417,2024-05-02
209,215.0,-6.0,-0.09603691121389905,2024-04-25
211,215.0,-4.0,-0.07337326875268661,2024-04-18
212,215.0,-3.0,-0.06204144752208039,2024-04-11
223,214.0,9.0,0.07394040724519427,2024-04-04
214,212.0,2.0,-0.0053823413690492865,2024-03-28
213,213.0,0.0,-0.02804598383026173,2024-03-21
213,218.0,-5.0,-0.08470508998329283,2024-03-14
212,216.0,-4.0,-0.07337326875268661,2024-03-07
214,210.0,4.0,0.017281301092163158,2024-02-29
203,216.0,-13.0,-0.1753596598281426,2024-02-22
212,220.0,-8.0,-0.11870055367511151,2024-02-15
214,220.0,-6.0,-0.09603691121389905,2024-02-08
225,212.0,13.0,0.11926769216761915,2024-02-01
223,200.0,23.0,0.23258590447368138,2024-01-25
193,205.0,-12.0,-0.1640278385975364,2024-01-18
199,210.0,-11.0,-0.15269601736693017,2024-01-11
198,216.0,-18.0,-0.2320187659811737,2024-01-04
210,210.0,0.0,-0.02804598383026173,2023-12-28
209,215.0,-6.0,-0.09603691121389905,2023-12-21
204,220.0,-16.0,-0.20935512351996124,2023-12-14
216,220.0,-4.0,-0.07337326875268661,2023-12-07
214,218.0,-4.0,-0.07337326875268661,2023-11-30
213,227.0,-14.0,-0.1866914810587488,2023-11-22
229,220.0,9.0,0.07394040724519427,2023-11-16
216,218.0,-2.0,-0.05070962629147417,2023-11-09
217,210.0,7.0,0.05127676478398182,2023-11-02
214,207.0,7.0,0.05127676478398182,2023-10-26
200,210.0,-10.0,-0.14136419613632395,2023-10-19
210,210.0,0.0,-0.02804598383026173,2023-10-12
216,210.0,6.0,0.0399449435533756,2023-10-05
215,214.5,0.5,-0.02238007321495862,2023-09-28
210,225.0,-15.0,-0.19802330228935502,2023-09-21
227,225.0,2.0,-0.0053823413690492865,2023-09-14
227,233.0,-6.0,-0.09603691121389905,2023-09-07
234,235.0,-1.0,-0.03937780506086795,2023-08-31
240,240.0,0.0,-0.02804598383026173,2023-08-24
248,240.0,8.0,0.06260858601458805,2023-08-17
258,230.0,28.0,0.2892450106267125,2023-08-10
238,225.0,13.0,0.11926769216761915,2023-08-03
231,235.0,-4.0,-0.07337326875268661,2023-07-27
228,240.0,-12.0,-0.1640278385975364,2023-07-20
229,250.0,-21.0,-0.2660142296729924,2023-07-13
248,245.0,3.0,0.005949479861556935,2023-07-06
236,265.0,-29.0,-0.35666879951784214,2023-06-29
260,259.0,1.0,-0.016714162599655507,2023-06-22
258,245.0,13.0,0.11926769216761915,2023-06-15
253,235.0,18.0,0.17592679832065025,2023-06-08
230,234.5,-4.5,-0.07903917936798972,2023-06-01
227,245.0,-18.0,-0.2320187659811737,2023-05-25
225,251.5,-26.5,-0.32833924644132656,2023-05-18
223,245.0,-22.0,-0.2773460509035986,2023-05-11
214,240.0,-26.0,-0.3226733358260235,2023-05-04
210,248.0,-38.0,-0.4586551905932981,2023-04-27
223,240.0,-17.0,-0.22068694475056747,2023-04-20
219,235.0,-16.0,-0.20935512351996124,2023-04-13
217,200.0,17.0,0.16459497709004403,2023-04-06
234,196.0,38.0,0.4025632229327747,2023-03-30
230,197.0,33.0,0.3459041167797436,2023-03-23
222,205.0,17.0,0.16459497709004403,2023-03-16
229,195.0,34.0,0.3572359380103498,2023-03-09
209,195.0,14.0,0.13059951339822537,2023-03-02
217,200.0,17.0,0.16459497709004403,2023-02-23
219,200.0,19.0,0.1872586195512565,2023-02-16
215,190.0,25.0,0.2552495469348938,2023-02-09
200,195.0,5.0,0.02861312232276938,2023-02-02
203,205.0,-2.0,-0.05070962629147417,2023-01-26
203,213.5,-10.5,-0.14703010675162706,2023-01-19
208,215.0,-7.0,-0.10736873244450529,2023-01-12
204,225.0,-21.0,-0.2660142296729924,2023-01-05
204,225.0,-21.0,-0.2660142296729924,2022-12-29
213,222.0,-9.0,-0.13003237490571773,2022-12-22
210,232.0,-22.0,-0.2773460509035986,2022-12-15
209,230.0,-21.0,-0.2660142296729924,2022-12-08
209,235.0,-26.0,-0.3226733358260235,2022-12-01
220,225.0,-5.0,-0.08470508998329283,2022-11-23
210,228.0,-18.0,-0.2320187659811737,2022-11-17
204,220.0,-16.0,-0.20935512351996124,2022-11-10
202,220.0,-18.0,-0.2320187659811737,2022-11-03
201,220.0,-19.0,-0.24335058721177993,2022-10-27
199,233.0,-34.0,-0.41332790567087324,2022-10-20
206,225.0,-19.0,-0.24335058721177993,2022-10-13
204,204.0,0.0,-0.02804598383026173,2022-10-06
189,215.0,-26.0,-0.3226733358260235,2022-09-29
201,217.0,-16.0,-0.20935512351996124,2022-09-22
197,227.0,-30.0,-0.36800062074844836,2022-09-15
204,235.0,-31.0,-0.3793324419790546,2022-09-08
210,247.5,-37.5,-0.45298927997799504,2022-09-01
215,252.0,-37.0,-0.4473233693626919,2022-08-25
220,263.5,-43.5,-0.5209802073616323,2022-08-18
221,264.5,-43.5,-0.5209802073616323,2022-08-11
228,260.0,-32.0,-0.3906642632096608,2022-08-04
220,250.0,-30.0,-0.36800062074844836,2022-07-28
216,240.0,-24.0,-0.30000969336481104,2022-07-21
212,235.0,-23.0,-0.2886778721342048,2022-07-14
215,230.0,-15.0,-0.19802330228935502,2022-07-07
212,229.5,-17.5,-0.22635285536587058,2022-06-30
215,226.0,-11.0,-0.15269601736693017,2022-06-23
213,216.5,-3.5,-0.0677073581373835,2022-06-16
214,206.0,8.0,0.06260858601458805,2022-06-09
200,210.0,-10.0,-0.14136419613632395,2022-06-02
211,215.0,-4.0,-0.07337326875268661,2022-05-26
225,200.0,25.0,0.2552495469348938,2022-05-19
204,193.0,11.0,0.09660404970640671,2022-05-12
219,180.0,39.0,0.4138950441633809,2022-05-05
210,180.0,30.0,0.3119086530879249,2022-04-28
209,180.0,29.0,0.3005768318573187,2022-04-21
213,170.0,43.0,0.45922232908580585,2022-04-14
215,200.0,15.0,0.1419313346288316,2022-04-07
214,196.0,18.0,0.17592679832065025,2022-03-31
207,210.0,-3.0,-0.06204144752208039,2022-03-24
