PX_LAST,BN_SURVEY_MEDIAN,NFP_surprise,NFP_surprise_z,NFP_Release_date
228,140,88,0.04744908821788834,2025-04-04
117,160,-43,-0.1442391057193847,2025-03-07
111,175,-64,-0.17496774749558877,2025-02-07
323,165,158,0.14987789413856858,2025-01-10
261,220,41,-0.021324538614568393,2024-12-06
44,100,-56,-0.16326159824751102,2024-11-01
240,150,90,0.05037562552990778,2024-10-04
71,165,-94,-0.2188658071758803,2024-09-06
88,175,-87,-0.2086229265838123,2024-08-02
87,190,-103,-0.23203522507996777,2024-07-05
193,180,13,-0.06229606098284049,2024-06-07
118,240,-122,-0.2598373295441524,2024-05-03
246,214,32,-0.034493956518655854,2024-04-05
222,200,22,-0.04912664307875303,2024-03-08
119,185,-66,-0.1778942848076082,2024-02-02
269,175,94,0.05622870015394665,2024-01-05
141,185,-44,-0.1457023743753944,2023-12-08
186,180,6,-0.07253894157490852,2023-11-03
158,170,-12,-0.09887777738308344,2023-10-06
157,170,-13,-0.10034104603909315,2023-09-01
148,200,-52,-0.15740852362347216,2023-08-04
257,230,27,-0.041810299798704445,2023-07-07
227,195,32,-0.034493956518655854,2023-06-02
216,185,31,-0.03595722517466557,2023-05-05
85,230,-145,-0.2934925086323759,2023-04-07
306,225,81,0.03720620762582032,2023-03-10
444,189,255,0.2918149537715112,2023-02-03
126,205,-79,-0.19691677733573454,2023-01-06
297,200,97,0.0606185061219758,2022-12-02
400,193,207,0.22157805828304475,2022-11-04
227,255,-28,-0.12229007587923892,2022-10-07
237,298,-61,-0.17057794152755962,2022-09-02
696,250,446,0.5712992670693673,2022-08-05
461,265,196,0.20548210306693784,2022-07-08
241,318,-77,-0.19399024002371512,2022-06-03
305,380,-75,-0.19106370271169568,2022-05-06
471,490,-19,-0.10912065797515146,2022-04-01
869,423,446,0.5712992670693673,2022-03-04
225,125,100,0.06500831209000496,2022-02-04
575,450,125,0.1015900284902479,2022-01-07
637,550,87,0.045985819561878624,2021-12-03
857,450,407,0.5142317894849883,2021-11-05
466,500,-34,-0.13106968781529724,2021-10-08
487,733,-246,-0.4412826428893574,2021-09-03
931,870,61,0.007940834505625962,2021-08-06
796,720,76,0.02988986434577173,2021-07-02
421,675,-254,-0.45298879213743515,2021-06-04
365,1000,-635,-1.0104941500771376,2021-05-07
824,660,164,0.1586575060746269,2021-04-02
509,200,309,0.37083146119603594,2021-03-05
365,105,260,0.2991312970515598,2021-02-05
-183,50,-233,-0.4222601503612311,2021-01-08
270,460,-190,-0.35933959815281324,2020-12-04
691,580,111,0.08110426730611185,2020-11-06
951,859,92,0.053302162841927216,2020-10-02
1564,1350,214,0.23182093887511276,2020-09-04
1584,1480,104,0.07086138671404382,2020-08-07
4631,3230,1401,1.9687208335586477,2020-07-02
2616,-7500,10116,14.721107170683338,2020-06-05
-20471,-22000,1529,2.1560192215278917,2020-05-08
-1397,-100,-1297,-1.9791780003555708,2020-04-03
261,175,86,0.04452255090586891,2020-03-06
236,165,71,0.022573521065723138,2020-02-07
127,160,-33,-0.1296064191592875,2020-01-10
208,180,28,-0.04034703114269472,2019-12-06
95,85,10,-0.06668586695086964,2019-11-01
194,145,49,-0.009618389366490652,2019-10-04
235,160,75,0.02842659568976201,2019-09-06
97,165,-68,-0.18082082211962763,2019-08-02
218,160,58,0.0035510285375968086,2019-07-05
28,175,-147,-0.29641904594439533,2019-06-07
298,190,108,0.0767144613380827,2019-05-03
230,177,53,-0.0037653147424517807,2019-04-05
6,180,-174,-0.33592729965665774,2019-03-08
250,165,85,0.043059282249859186,2019-02-01
192,184,8,-0.06961240426288907,2019-01-04
91,198,-107,-0.23788829970400666,2018-12-07
168,200,-32,-0.1281431505032778,2018-11-02
79,185,-106,-0.23642503104799692,2018-10-05
259,190,69,0.019646983753703703,2018-09-07
61,193,-132,-0.2744700161042496,2018-08-03
219,195,24,-0.0462001057667336,2018-07-06
318,190,128,0.10597983445827705,2018-06-01
142,193,-51,-0.15594525496746242,2018-05-04
226,185,41,-0.021324538614568393,2018-04-06
394,205,189,0.19523922247486983,2018-03-09
137,180,-43,-0.1442391057193847,2018-02-02
150,190,-40,-0.13984929975135554,2018-01-05
223,195,28,-0.04034703114269472,2017-12-08
143,313,-170,-0.33007422503261885,2017-11-03
88,80,8,-0.06961240426288907,2017-10-06
147,180,-33,-0.1296064191592875,2017-09-01
189,180,9,-0.06814913560687937,2017-08-04
203,178,25,-0.044736837110723876,2017-07-07
206,182,24,-0.0462001057667336,2017-06-02
205,190,15,-0.05936952367082106,2017-05-05
121,180,-59,-0.16765140421554017,2017-04-07
220,200,20,-0.05205318039077247,2017-03-10
220,180,40,-0.022787807270578112,2017-02-03
225,175,50,-0.008155120710480935,2017-01-06
117,180,-63,-0.17350447883957903,2016-12-02
99,173,-74,-0.18960043405568597,2016-11-04
305,172,133,0.11329617773832565,2016-10-07
142,180,-38,-0.1369227624393361,2016-09-02
374,180,194,0.2025555657549184,2016-08-05
246,180,66,0.01525717778567455,2016-07-08
45,160,-115,-0.24959444895208438,2016-06-03
193,200,-7,-0.09156143410303484,2016-05-06
255,205,50,-0.008155120710480935,2016-04-01
197,195,2,-0.07839201619894738,2016-03-04
133,190,-57,-0.16472486690352073,2016-02-05
269,200,69,0.019646983753703703,2016-01-08
229,200,29,-0.03888376248668501,2015-12-04
304,185,119,0.09281041655418959,2015-11-06
150,200,-50,-0.1544819863114527,2015-10-02
134,217,-83,-0.20276985195977343,2015-09-04
282,225,57,0.0020877598815870905,2015-08-07
171,233,-62,-0.17204121018356933,2015-07-02
342,226,116,0.08842061058616044,2015-06-05
273,228,45,-0.015471463990529523,2015-05-08
96,245,-149,-0.2993455832564148,2015-04-03
259,235,24,-0.0462001057667336,2015-03-06
204,228,-24,-0.11643700125520005,2015-02-06
274,240,34,-0.031567419206636416,2015-01-09
293,230,63,0.010867371817645397,2014-12-05
234,235,-1,-0.08278182216697653,2014-11-07
294,215,79,0.03427967031380088,2014-10-03
196,230,-34,-0.13106968781529724,2014-09-05
224,230,-6,-0.09009816544702513,2014-08-01
337,215,122,0.09720022252221874,2014-07-03
215,215,0,-0.08131855351096683,2014-06-06
312,218,94,0.05622870015394665,2014-05-02
273,200,73,0.025500058377742576,2014-04-04
151,149,2,-0.07839201619894738,2014-03-07
188,180,8,-0.06961240426288907,2014-02-07
57,197,-140,-0.2861761653523273,2014-01-10
275,185,90,0.05037562552990778,2013-12-06
220,120,100,0.06500831209000496,2013-11-08
175,180,-5,-0.08863489679101541,2013-10-22
